Timestamp (ms),TargetIndex (Tid),Range (m),Velocity (m/s),Direction,Signal (dB),Estimated Time of Arrival (s)
1158,1,1.08485,0.250912,Towards the RADAR,48.8088,4.32363
1261,1,0.600512,0.0627279,Towards the RADAR,60.4524,9.57328
1361,1,5.41372,-0.501823,Away from the RADAR,45.0815,-10.7881
2865,1,8.44472,-0.501823,Away from the RADAR,42.0058,-16.8281
2954,1,10.8401,-0.501823,Away from the RADAR,42.0997,-21.6015
3053,1,4.364,-0.439095,Away from the RADAR,42.9734,-9.93861
3155,1,6.09213,-0.376367,Away from the RADAR,45.2057,-16.1867
3256,1,6.12323,-0.439095,Away from the RADAR,42.6033,-13.9451
3862,1,8.09185,-0.501823,Away from the RADAR,44.3827,-16.1249
4056,1,5.81933,-0.439095,Away from the RADAR,46.9178,-13.253
4161,1,5.95842,-0.501823,Away from the RADAR,41.4638,-11.8735
4658,1,4.9219,-0.501823,Away from the RADAR,41.6107,-9.80803
4854,1,5.63385,-0.690007,Away from the RADAR,44.6483,-8.16492
4958,1,6.5075,-0.627279,Away from the RADAR,45.5651,-10.3742
5152,1,7.82394,-0.439095,Away from the RADAR,44.7476,-17.8183
5257,1,0.682737,-0.0627279,Away from the RADAR,59.1988,-10.8841
5351,1,5.47538,-0.439095,Away from the RADAR,45.9238,-12.4697
,2,4.97281,-0.313639,Away from the RADAR,45.3699,-15.8552
5455,1,6.93867,-0.313639,Away from the RADAR,50.2719,-22.1231
5650,1,4.99435,-0.564551,Away from the RADAR,40.8379,-8.84659
5844,1,5.62326,-0.376367,Away from the RADAR,47.292,-14.9409
5953,1,5.24,-0.439095,Away from the RADAR,47.7603,-11.9336
6058,1,8.58321,-0.564551,Away from the RADAR,43.8595,-15.2036
,2,3.52832,-0.439095,Away from the RADAR,41.6388,-8.03543
6146,1,5.46767,-0.564551,Away from the RADAR,45.2722,-9.68499
6250,1,4.74335,-0.313639,Away from the RADAR,49.3116,-15.1236
7948,1,3.58295,0.313639,Towards the RADAR,48.9312,11.4238
10929,1,4.24725,-0.376367,Away from the RADAR,43.3574,-11.2849
11227,1,4.59569,-0.501823,Away from the RADAR,44.3764,-9.158
11332,1,5.17429,-0.439095,Away from the RADAR,44.6007,-11.784
11436,1,4.25613,-0.439095,Away from the RADAR,44.1317,-9.69295
11932,1,6.99545,-0.627279,Away from the RADAR,44.93,-11.1521
12038,1,4.56942,-0.627279,Away from the RADAR,48.8817,-7.28451
12336,1,4.61587,-0.87819,Away from the RADAR,49.3697,-5.25611
12425,1,3.33956,-0.815463,Away from the RADAR,42.6026,-4.09529
12527,1,5.19357,-0.87819,Away from the RADAR,41.2892,-5.91395
12732,1,4.23311,-0.752735,Away from the RADAR,51.3759,-5.62364
12836,1,4.05334,-0.752735,Away from the RADAR,50.5255,-5.38482
12925,1,4.37901,-0.752735,Away from the RADAR,45.2368,-5.81746
13028,1,3.61165,-0.752735,Away from the RADAR,44.6277,-4.79803
14818,1,2.45778,-1.06637,Away from the RADAR,41.185,-2.3048
15031,1,3.14139,-0.564551,Away from the RADAR,41.5966,-5.56441
16126,1,1.73535,-0.627279,Away from the RADAR,43.4778,-2.76647
16224,1,2.39508,-0.313639,Away from the RADAR,44.9079,-7.6364
16313,1,1.87666,-0.439095,Away from the RADAR,40.9325,-4.27392
16626,1,1.01623,-0.188184,Away from the RADAR,50.9781,-5.40021
16714,1,1.80012,-0.752735,Away from the RADAR,46.3998,-2.39144
16815,1,1.17658,-0.627279,Away from the RADAR,50.6368,-1.87568
,2,1.18993,-0.313639,Away from the RADAR,48.3967,-3.79394
16917,1,0.850153,-0.439095,Away from the RADAR,51.0286,-1.93615
17225,1,0.924807,-0.313639,Away from the RADAR,51.4179,-2.94863
18518,1,0.440969,0.439095,Towards the RADAR,45.4868,1.00427
18715,1,0.790115,-0.188184,Away from the RADAR,53.1905,-4.19864
19315,1,1.30252,-0.439095,Away from the RADAR,47.4997,-2.96638
19420,1,0.823756,0.0627279,Towards the RADAR,61.3487,13.1322
,2,0.551251,0.250912,Towards the RADAR,51.5349,2.19699
19702,1,0.825906,0.501823,Towards the RADAR,47.2725,1.64581
19911,1,1.19441,0.188184,Towards the RADAR,52.3818,6.34707
21910,1,9.18271,-1.50547,Away from the RADAR,45.5455,-6.09956
22109,1,7.18194,-1.44274,Away from the RADAR,46.7364,-4.97798
22210,1,7.9939,-1.44274,Away from the RADAR,51.7102,-5.54077
,2,7.52534,-1.19183,Away from the RADAR,43.8931,-6.31411
22311,1,7.21092,-1.38001,Away from the RADAR,49.3759,-5.22525
,2,6.72652,-1.1291,Away from the RADAR,43.4645,-5.9574
22410,1,6.61147,-1.38001,Away from the RADAR,43.631,-4.79087
,2,5.9014,-1.06637,Away from the RADAR,42.6951,-5.53408
22508,1,6.73074,-1.19183,Away from the RADAR,52.8752,-5.6474
22702,1,6.13703,-1.06637,Away from the RADAR,47.235,-5.75504
,2,6.13704,-0.87819,Away from the RADAR,48.5052,-6.98828
22806,1,5.75343,-0.87819,Away from the RADAR,44.7197,-6.55146
,2,7.64184,-0.752735,Away from the RADAR,49.7831,-10.1521
22895,1,7.02451,-0.627279,Away from the RADAR,48.9232,-11.1984
,2,5.00054,-0.439095,Away from the RADAR,46.9503,-11.3883
23002,1,7.2064,-0.250912,Away from the RADAR,47.988,-28.7209
23106,1,5.58367,0.752735,Towards the RADAR,45.0295,7.41785
23195,1,3.11728,0.313639,Towards the RADAR,49.2952,9.93906
,2,7.1134,-0.501823,Away from the RADAR,46.9891,-14.1751
23298,1,5.82142,0.815463,Towards the RADAR,43.9289,7.1388
,2,5.46374,1.19183,Towards the RADAR,44.4539,4.58433
23398,1,6.31594,0.501823,Towards the RADAR,44.9453,12.586
23591,1,6.89012,1.81911,Towards the RADAR,48.5921,3.78764
24294,1,8.75576,2.38366,Towards the RADAR,40.0152,3.67324
24394,1,8.20715,2.44639,Towards the RADAR,41.878,3.3548
25400,1,11.5069,2.13275,Towards the RADAR,42.3228,5.39535
27593,1,1.73375,-0.188184,Away from the RADAR,50.6434,-9.2131
28688,1,0.780593,0.188184,Towards the RADAR,50.7639,4.14804
28777,1,0.682642,0.376367,Towards the RADAR,54.3507,1.81376
28880,1,0.50914,0.564551,Towards the RADAR,47.8247,0.901849
33366,1,0.841152,0.250912,Towards the RADAR,46.2796,3.35239
33468,1,0.968328,0.188184,Towards the RADAR,46.7161,5.14565
33573,1,0.46017,-0.188184,Away from the RADAR,47.1945,-2.44533
33677,1,0.46521,-0.188184,Away from the RADAR,57.048,-2.4721
33876,1,0.755886,0.125456,Towards the RADAR,61.0676,6.02512
35271,1,1.10165,-0.313639,Away from the RADAR,46.7877,-3.51248
35363,1,0.509939,0.439095,Towards the RADAR,47.6853,1.16134
36157,1,2.38845,0.313639,Towards the RADAR,49.3747,7.61529
37260,1,2.19556,-0.188184,Away from the RADAR,52.5137,-11.6671
37967,1,1.27243,-0.0627279,Away from the RADAR,59.5076,-20.285
38261,1,0.706858,-0.250912,Away from the RADAR,49.5967,-2.81716
38458,1,0.71533,0.188184,Towards the RADAR,47.8889,3.80123
39454,1,1.1287,-0.439095,Away from the RADAR,46.4783,-2.57051
40355,1,1.3078,0.188184,Towards the RADAR,50.6123,6.94958
40548,1,1.23354,0.313639,Towards the RADAR,53.6466,3.93297
,2,1.48042,0.627279,Towards the RADAR,45.4485,2.36006
40651,1,0.775693,0.501823,Towards the RADAR,47.203,1.54575
47835,1,0.959069,-0.188184,Away from the RADAR,53.8979,-5.09645
47924,1,0.67617,-0.125456,Away from the RADAR,58.9169,-5.38971
,2,0.759083,-0.0627279,Away from the RADAR,58.4958,-12.1012
49020,1,0.853048,0.0627279,Towards the RADAR,61.0278,13.5992
49223,1,0.530304,0.0627279,Towards the RADAR,59.2681,8.45404
